video_id,start_frame,end_frame,label,player_side
1,10827,10827,short_service,left
1,10849,10849,net_shot,left
1,10873,10873,lob,left
1,10917,10917,clear,left
1,10943,10943,drop,left
1,10966,10966,net_shot,left
1,10994,10994,lob,left
1,11041,11041,drop,left
1,16805,16805,short_service,left
1,16830,16830,push/rush,left
1,16860,16860,clear,left
1,16889,16889,clear,left
1,16924,16924,smash,left
1,17546,17546,short_service,left
1,17565,17565,lob,left
1,17603,17603,drop,left
1,17622,17622,net_shot,left
1,17651,17651,net_shot,left
1,17676,17676,lob,left
1,17732,17732,smash,left
1,17745,17745,defensive_shot,left
1,17773,17773,net_shot,left
1,17796,17796,lob,left
1,17825,17825,drop,left
1,17849,17849,lob,left
1,17875,17875,clear,left
1,17920,17920,clear,left
1,17962,17962,drop,left
1,17987,17987,lob,left
1,18014,18014,drop,left
1,18039,18039,lob,left
1,18073,18073,drop,left
1,18106,18106,net_shot,left
1,18134,18134,lob,left
1,18198,18198,smash,left
1,18210,18210,defensive_shot,left
1,18238,18238,lob,left
1,19747,19747,short_service,left
1,19771,19771,net_shot,left
1,19798,19798,lob,left
1,19835,19835,smash,left
1,19845,19845,defensive_shot,left
1,19883,19883,lob,left
1,19927,19927,smash,left
1,19942,19942,defensive_shot,left
1,19969,19969,net_shot,left
1,19998,19998,net_shot,left
1,20819,20819,short_service,left
1,20839,20839,net_shot,left
1,20867,20867,lob,left
1,20916,20916,smash,left
1,20930,20930,defensive_shot,left
1,20960,20960,net_shot,left
1,20989,20989,net_shot,left
1,21014,21014,lob,left
1,21053,21053,clear,left
1,21078,21078,smash,left
1,21090,21090,defensive_shot,left
1,21115,21115,smash,left
1,21126,21126,defensive_shot,left
1,24340,24340,short_service,left
1,24359,24359,lob,left
1,24395,24395,drop,left
1,24420,24420,lob,left
1,24452,24452,drop,left
1,24481,24481,net_shot,left
1,24508,24508,lob,left
1,33709,33709,short_service,left
1,33730,33730,lob,left
1,33768,33768,smash,left
1,33782,33782,defensive_shot,left
1,33812,33812,net_shot,left
1,33839,33839,lob,left
1,33882,33882,clear,left
1,33917,33917,drop,left
1,33942,33942,push/rush,left
1,34519,34519,short_service,left
1,34542,34542,net_shot,left
1,34562,34562,push/rush,left
1,34591,34591,clear,left
1,34643,34643,smash,left
1,34658,34658,defensive_shot,left
1,42965,42965,short_service,left
1,42986,42986,net_shot,left
1,43008,43008,lob,left
1,43050,43050,drop,left
1,43074,43074,net_shot,left
1,43099,43099,net_shot,left
1,43124,43124,push/rush,left
1,43163,43163,drop,left
1,43185,43185,net_shot,left
1,43213,43213,lob,left
1,43252,43252,drop,left
1,43871,43871,short_service,left
1,43891,43891,lob,left
1,43931,43931,drop,left
1,43949,43949,net_shot,left
1,43973,43973,lob,left
1,44009,44009,smash,left
1,44021,44021,defensive_shot,left
1,44045,44045,net_shot,left
1,44069,44069,lob,left
1,44103,44103,drop,left
1,44124,44124,net_shot,left
1,44154,44154,net_shot,left
1,44175,44175,push/rush,left
1,44202,44202,smash,left
1,44861,44861,short_service,left
1,44880,44880,lob,left
1,44918,44918,smash,left
1,44935,44935,defensive_shot,left
1,44975,44975,drop,left
1,44997,44997,net_shot,left
1,45020,45020,net_shot,left
1,45042,45042,net_shot,left
1,45068,45068,net_shot,left
1,45089,45089,net_shot,left
1,45112,45112,net_shot,left
1,45140,45140,lob,left
1,45180,45180,smash,left
1,45192,45192,defensive_shot,left
1,45221,45221,net_shot,left
1,45241,45241,drive,left
1,45259,45259,push/rush,left
1,45297,45297,clear,left
1,45329,45329,drop,left
1,45996,45996,long_service,left
1,46027,46027,smash,left
1,46043,46043,defensive_shot,left
1,46072,46072,net_shot,left
1,46093,46093,net_shot,left
1,46117,46117,net_shot,left
1,46142,46142,lob,left
1,46189,46189,smash,left
1,48529,48529,short_service,left
1,48548,48548,net_shot,left
1,48571,48571,net_shot,left
1,48593,48593,net_shot,left
1,48614,48614,lob,left
1,48654,48654,drop,left
1,48676,48676,net_shot,left
1,48699,48699,net_shot,left
1,48722,48722,push/rush,left
1,48750,48750,smash,left
1,48764,48764,net_shot,left
1,48793,48793,lob,left
1,48827,48827,smash,left
1,51244,51244,short_service,left
1,51264,51264,net_shot,left
1,51288,51288,lob,left
1,51322,51322,smash,left
1,51333,51333,defensive_shot,left
1,51365,51365,net_shot,left
1,51392,51392,lob,left
1,51451,51451,smash,left
1,51463,51463,defensive_shot,left
1,51491,51491,net_shot,left
1,51515,51515,lob,left
1,51559,51559,clear,left
1,51600,51600,drop,left
1,51619,51619,net_shot,left
1,51647,51647,push/rush,left
1,51683,51683,drop,left
1,51708,51708,net_shot,left
1,51736,51736,net_shot,left
1,51761,51761,lob,left
1,51822,51822,drop,left
1,51838,51838,net_shot,left
1,51865,51865,push/rush,left
1,52727,52727,short_service,left
1,52748,52748,net_shot,left
1,52775,52775,net_shot,left
1,52805,52805,lob,left
1,52838,52838,smash,left
1,52853,52853,defensive_shot,left
1,52880,52880,net_shot,left
1,52902,52902,net_shot,left
1,52935,52935,net_shot,left
1,52958,52958,net_shot,left
1,52981,52981,net_shot,left
1,53006,53006,lob,left
1,54725,54725,short_service,left
1,54748,54748,drive,left
1,54768,54768,net_shot,left
1,54785,54785,push/rush,left
1,54795,54795,drive,left
